code,jurisdiction,includes_jails,year,prisoner_count,crime_reporting_change,crimes_estimated,state_population,violent_crime_total,murder_manslaughter,rape_legacy,rape_revised,robbery,agg_assault,property_crime_total,burglary,larceny,vehicle_theft,murder_manslaughter_per_capita_per_one_hundred_thousand,rape_legacy_per_capita_per_one_hundred_thousand,robbery_per_capita_per_one_hundred_thousand,agg_assault_per_capita_per_one_hundred_thousand,burglary_per_capita_per_one_hundred_thousand,larceny_per_capita_per_one_hundred_thousand,vehicle_theft_per_capita_per_one_hundred_thousand,prisoners_per_capita_per_one_hundred_thousand,total_crime,total_crime_per_capita_per_one_hundred_thousand
FED,FEDERAL,FALSE,2001,149852,,,284743737,1430285,15806,90682,0,419777,904020,10401957,2111582,7069954,1220421,5.55,31.85,147.42,317.49,741.57,2482.92,428.6,52.63,11832242,4155.4
AL,ALABAMA,FALSE,2001,24741,FALSE,FALSE,4468912,19582,379,1369,,5584,12250,173253,40642,119992,12619,8.48,30.63,124.95,274.12,909.44,2685.04,282.37,553.62,192835,4315.03
AK,ALASKA,TRUE,2001,4570,FALSE,FALSE,633630,3735,39,501,,514,2681,23160,3847,16695,2618,6.16,79.07,81.12,423.12,607.14,2634.82,413.17,721.24,26895,4244.59
AZ,ARIZONA,FALSE,2001,27710,FALSE,FALSE,5306966,28675,400,1518,,8868,17889,293874,54821,186850,52203,7.54,28.6,167.1,337.09,1033,3520.84,983.67,522.14,322549,6077.84
AR,ARKANSAS,FALSE,2001,11489,FALSE,FALSE,2694698,12190,148,892,,2181,8969,99106,22196,69590,7320,5.49,33.1,80.94,332.84,823.69,2582.48,271.64,426.36,111296,4130.18
CA,CALIFORNIA,FALSE,2001,157142,FALSE,FALSE,34600463,212867,2206,9960,,64614,136087,1134189,232273,697739,204177,6.38,28.79,186.74,393.31,671.3,2016.56,590.1,454.16,1347056,3893.17
CO,COLORADO,FALSE,2001,17278,FALSE,FALSE,4430989,15492,158,1930,,3555,9849,170887,28533,121360,20994,3.57,43.56,80.23,222.28,643.94,2738.89,473.8,389.94,186379,4206.26
CT,CONNECTICUT,TRUE,2001,17507,FALSE,FALSE,3434602,11492,105,639,,4183,6565,95299,17159,65762,12378,3.06,18.6,121.79,191.14,499.59,1914.69,360.39,509.72,106791,3109.27
DE,DELAWARE,TRUE,2001,6841,FALSE,FALSE,796599,4868,23,420,,1156,3269,27399,5144,19476,2779,2.89,52.72,145.12,410.37,645.75,2444.89,348.86,858.78,32267,4050.6
FL,FLORIDA,FALSE,2001,72404,FALSE,FALSE,16373330,130713,874,6641,,32867,90331,782517,176052,516548,89917,5.34,40.56,200.73,551.7,1075.24,3154.81,549.17,442.21,913230,5577.55
