code, jurisdiction,includes_jails,year,prisoner_count,crime_reporting_change,crimes_estimated,state_population,violent_crime_total,murder_manslaughter,rape_legacy,rape_revised,robbery,agg_assault,property_crime_total,burglary,larceny,vehicle_theft
AL,ALABAMA,False,2016,23745,False,False,4860545.0,25878.0,407.0,,1915.0,4687.0,18869.0,143259.0,34045.0,97498.0,11716.0
AK,ALASKA,True,2016,4378,False,False,741522.0,5966.0,52.0,,1053.0,850.0,4011.0,24876.0,4053.0,17766.0,3057.0
AZ,ARIZONA,False,2016,42248,False,False,6908642.0,32542.0,389.0,,3304.0,7045.0,21804.0,207317.0,38216.0,150618.0,18483.0
AR,ARKANSAS,False,2016,15833,False,False,2988231.0,16563.0,217.0,,2214.0,2125.0,12007.0,98092.0,23814.0,67091.0,7187.0
CA,CALIFORNIA,False,2016,129416,False,False,39296476.0,174796.0,1930.0,,13702.0,54789.0,104375.0,1002070.0,188304.0,637010.0,176756.0
CO,COLORADO,False,2016,19486,False,False,5530105.0,19030.0,189.0,,3635.0,3525.0,11681.0,152146.0,23825.0,108680.0,19641.0
CT,CONNECTICUT,True,2016,15040,False,False,3587685.0,8169.0,79.0,,791.0,2711.0,4588.0,64875.0,10107.0,47642.0,7126.0
DE,DELAWARE,True,2016,6334,False,False,952698.0,4859.0,58.0,,311.0,1359.0,3131.0,26370.0,5028.0,19812.0,1530.0
FL,FLORIDA,False,2016,98010,False,False,20656589.0,88700.0,1111.0,,7598.0,20175.0,59816.0,553812.0,100325.0,410352.0,43135.0
GA,GEORGIA,False,2016,53433,False,False,10313620.0,40268.0,682.0,,3381.0,12114.0,24091.0,307305.0,62715.0,218127.0,26463.0
HI,HAWAII,True,2016,5182,False,False,1428683.0,3452.0,35.0,,601.0,985.0,1831.0,42353.0,5983.0,30871.0,5499.0
ID,IDAHO,False,2016,7221,False,False,1680026.0,3876.0,49.0,,719.0,213.0,2895.0,29357.0,6318.0,20962.0,2077.0
IL,ILLINOIS,False,2016,43616,False,False,12835726.0,56054.0,1061.0,,5003.0,17829.0,32161.0,263256.0,48193.0,195196.0,19867.0
IN,INDIANA,False,2016,25143,False,False,6634007.0,26516.0,431.0,,2449.0,7291.0,16345.0,168460.0,33567.0,120454.0,14439.0
IA,IOWA,False,2016,9049,False,False,3130869.0,9170.0,73.0,,1278.0,1150.0,6669.0,65888.0,15306.0,45580.0,5002.0
KS,KANSAS,False,2016,9653,False,False,2907731.0,11665.0,132.0,,1618.0,1757.0,8158.0,82293.0,14759.0,60119.0,7415.0
KY,KENTUCKY,False,2016,11867,False,False,4436113.0,10452.0,265.0,,1748.0,3371.0,5068.0,97713.0,20932.0,66833.0,9948.0
LA,LOUISIANA,False,2016,15059,False,False,4686157.0,26477.0,555.0,,1819.0,5575.0,18528.0,154511.0,34689.0,109492.0,10330.0
